Customer_ID,Customer_Name,Gender,Age,Segment,Join_Date,City,State,Region
CUST00001,Gauri Sibal,Female,33,Corporate,2023-04-01,Chennai,Tamil Nadu,South
CUST00002,Lakshit Sankaran,Male,61,Government,2024-02-29,Karimnagar,Telangana,South
CUST00003,Teerth Singhal,Female,20,Retail,2026-05-23,Madurai,Tamil Nadu,South
CUST00004,Lopa Menon,Male,50,Government,2023-12-12,Chennai,Tamil Nadu,South
CUST00005,Ojasvi Balay,Male,63,Government,2024-03-18,Mangaluru,Karnataka,South
CUST00006,Aahana Raja,Female,55,SME,2021-11-14,New Delhi,Delhi,North
CUST00007,Chavvi Kalita,Female,39,SME,2024-09-24,Bengaluru,Karnataka,South
CUST00008,Pooja More,Female,24,Retail,2023-03-30,Hyderabad,Telangana,South
CUST00009,Ryan Maharaj,Female,40,Government,2025-02-21,New Delhi,Delhi,North
CUST00010,Oliver Shan,Female,52,Retail,2026-06-12,Mumbai,Maharashtra,West
CUST00011,Pranav Sem,Female,58,Government,2025-03-20,New Delhi,Delhi,North
CUST00012,Lakshit Rana,Male,63,Retail,2021-07-27,Vadodara,Gujarat,West
CUST00013,Gautam Dey,Male,36,Retail,2021-09-14,Mangaluru,Karnataka,South
CUST00014,Jalsa Ray,Female,35,Education,2025-07-26,Kochi,Kerala,South
CUST00015,Jagdish Raj,Female,40,Corporate,2024-09-06,Ahmedabad,Gujarat,West
CUST00016,Yoshita Bandi,Male,56,Corporate,2022-06-18,Nagpur,Maharashtra,West
CUST00017,Agastya Deol,Male,47,Education,2025-05-27,Kolkata,West Bengal,East
CUST00018,Libni Chowdhury,Male,61,SME,2023-08-24,Nagpur,Maharashtra,West
CUST00019,Vedika Srinivas,Male,38,Education,2025-11-17,Bengaluru,Karnataka,South
CUST00020,Pooja Nagarajan,Male,54,SME,2021-10-11,Mumbai,Maharashtra,West
CUST00021,Arin Padmanabhan,Female,43,Education,2023-03-03,Kozhikode,Kerala,South
CUST00022,Deepa Parekh,Male,33,Government,2021-12-24,Warangal,Telangana,South
CUST00023,Ekanta Bala,Female,55,Education,2023-08-25,Siliguri,West Bengal,East
CUST00024,Avi Brahmbhatt,Male,50,Education,2025-08-15,Ahmedabad,Gujarat,West
CUST00025,Girindra Karan,Male,27,Corporate,2024-02-19,Chennai,Tamil Nadu,South
CUST00026,Raghav Ranganathan,Female,42,Government,2025-07-24,New Delhi,Delhi,North
CUST00027,Pushti Chandran,Male,61,Retail,2021-11-22,Amritsar,Punjab,North
CUST00028,Vihaan Rao,Female,25,SME,2021-10-01,Siliguri,West Bengal,East
CUST00029,Nitesh Mittal,Female,18,SME,2021-08-20,New Delhi,Delhi,North
CUST00030,Harrison Oak,Male,58,SME,2022-02-12,Kolkata,West Bengal,East
CUST00031,Udant Mistry,Male,41,Corporate,2026-06-22,Kolkata,West Bengal,East
CUST00032,Banjeet Bansal,Female,49,Retail,2024-03-22,Kolkata,West Bengal,East
CUST00033,Andrew Din,Female,33,Retail,2026-02-26,Coimbatore,Tamil Nadu,South
CUST00034,Anusha Sandhu,Male,23,Education,2023-10-20,Kozhikode,Kerala,South
CUST00035,Reyansh Kanda,Male,26,Education,2025-05-13,Madurai,Tamil Nadu,South
CUST00036,Krishna Basak,Female,51,Government,2024-05-05,Kolkata,West Bengal,East
CUST00037,Lakshit Ghosh,Male,63,SME,2022-04-27,New Delhi,Delhi,North
CUST00038,Bakhshi Dalal,Female,51,Education,2022-07-11,New Delhi,Delhi,North
CUST00039,Qasim Goyal,Male,22,SME,2022-09-12,Chennai,Tamil Nadu,South
CUST00040,Bhavika Parmar,Male,55,Corporate,2023-01-16,Mangaluru,Karnataka,South
CUST00041,Gautami Patil,Male,32,Retail,2026-05-27,Bengaluru,Karnataka,South
CUST00042,Andrew Hegde,Male,50,Corporate,2026-04-03,Mysuru,Karnataka,South
CUST00043,Jacob Vohra,Female,31,Government,2025-11-21,Nagpur,Maharashtra,West
CUST00044,Lavanya Divan,Female,33,Education,2026-03-28,Karimnagar,Telangana,South
CUST00045,Ekiya Pai,Male,24,Education,2025-11-28,New Delhi,Delhi,North
CUST00046,Baljiwan Malhotra,Female,47,Retail,2026-01-11,Surat,Gujarat,West
CUST00047,Jai Shan,Female,64,SME,2023-03-30,Chennai,Tamil Nadu,South
CUST00048,Neha Ahuja,Male,30,Government,2026-05-25,Chennai,Tamil Nadu,South
CUST00049,Arjun Krishnan,Female,29,SME,2024-03-20,Ludhiana,Punjab,North
CUST00050,Raghav Tara,Male,46,Government,2023-03-28,Ludhiana,Punjab,North
CUST00051,Raghav Tata,Male,23,Corporate,2023-08-24,Chennai,Tamil Nadu,South
CUST00052,Bhavika Amble,Female,48,Corporate,2022-12-28,Warangal,Telangana,South
CUST00053,Dev Nigam,Male,42,Retail,2022-03-25,New Delhi,Delhi,North
CUST00054,Ikshita Mannan,Female,36,Education,2022-03-14,New Delhi,Delhi,North
CUST00055,Devika Arya,Male,30,SME,2024-11-01,Siliguri,West Bengal,East
CUST00056,Vrishti Biswas,Male,65,SME,2023-12-02,Kochi,Kerala,South
CUST00057,Zinal Parmar,Female,50,Government,2023-11-24,Bengaluru,Karnataka,South
CUST00058,Damini Bhavsar,Male,29,Retail,2023-11-02,Hyderabad,Telangana,South
CUST00059,Jeevika Balay,Male,43,Retail,2022-06-26,Indore,Madhya Pradesh,Central
CUST00060,Charvi Shetty,Male,57,Retail,2024-08-25,Indore,Madhya Pradesh,Central
CUST00061,Dhruv Anand,Female,31,SME,2021-12-29,New Delhi,Delhi,North
CUST00062,Utkarsh Devan,Female,26,SME,2021-09-30,Thiruvananthapuram,Kerala,South
CUST00063,Quincy Chopra,Male,18,Education,2025-10-14,Amritsar,Punjab,North
CUST00064,Reyansh Sarkar,Male,52,Corporate,2021-07-31,Indore,Madhya Pradesh,Central
CUST00065,Lila Raghavan,Male,40,Retail,2021-10-04,Siliguri,West Bengal,East
CUST00066,Abdul Vora,Female,28,Education,2022-01-11,Thiruvananthapuram,Kerala,South
CUST00067,Chatresh Oak,Male,60,Government,2025-09-02,Siliguri,West Bengal,East
CUST00068,Timothy Bala,Male,26,SME,2024-11-05,Nagpur,Maharashtra,West
CUST00069,Umang Kulkarni,Male,35,SME,2023-09-24,Chennai,Tamil Nadu,South
CUST00070,Vivaan Singhal,Female,31,SME,2024-07-17,Indore,Madhya Pradesh,Central
CUST00071,Ubika Sachdev,Female,21,Retail,2022-01-04,Siliguri,West Bengal,East
CUST00072,Krish Bawa,Male,18,SME,2024-12-25,New Delhi,Delhi,North
CUST00073,Gautam Pandya,Female,28,Education,2024-05-26,Karimnagar,Telangana,South
CUST00074,Thomas Srivastava,Male,25,Retail,2025-08-12,Siliguri,West Bengal,East
CUST00075,Pranav Biswas,Male,41,Government,2025-08-27,Karimnagar,Telangana,South
CUST00076,Tanveer Patil,Female,26,Retail,2022-02-23,Kolkata,West Bengal,East
CUST00077,Abhimanyu Sabharwal,Male,40,Corporate,2025-04-01,Pune,Maharashtra,West
CUST00078,Indira Shere,Male,40,Government,2024-01-03,Kozhikode,Kerala,South
CUST00079,Champak Sagar,Male,28,Corporate,2025-04-03,New Delhi,Delhi,North
CUST00080,Varenya Zachariah,Male,65,SME,2024-06-06,New Delhi,Delhi,North
CUST00081,Manbir Doctor,Female,28,Retail,2025-02-08,New Delhi,Delhi,North
CUST00082,Girindra Kade,Female,32,Corporate,2024-10-29,New Delhi,Delhi,North
CUST00083,Simon Trivedi,Female,32,Corporate,2024-12-24,Amritsar,Punjab,North
CUST00084,Warjas Ratta,Male,43,SME,2025-10-19,Mangaluru,Karnataka,South
CUST00085,Vinaya Desai,Female,40,Government,2025-12-17,Mumbai,Maharashtra,West
CUST00086,Mohini Keer,Male,25,SME,2025-08-27,New Delhi,Delhi,North
CUST00087,Frederick Ramachandran,Female,20,Retail,2025-07-24,Karimnagar,Telangana,South
CUST00088,Amrita Kaur,Female,64,SME,2024-09-01,Bhopal,Madhya Pradesh,Central
CUST00089,Jeet Dar,Female,54,Corporate,2025-01-28,New Delhi,Delhi,North
CUST00090,Amaira Sidhu,Female,18,Government,2025-07-20,Mumbai,Maharashtra,West
CUST00091,Arunima Ganesh,Female,45,Retail,2023-01-30,Kolkata,West Bengal,East
CUST00092,Pranav Ahuja,Female,60,Retail,2021-11-19,Vadodara,Gujarat,West
CUST00093,Amruta Bath,Female,60,Education,2025-07-27,Nagpur,Maharashtra,West
CUST00094,Gavin Palla,Female,53,Corporate,2024-12-07,Surat,Gujarat,West
CUST00095,Eiravati Vala,Female,61,Corporate,2023-11-09,Thiruvananthapuram,Kerala,South
CUST00096,Gopal Bhatt,Female,53,Retail,2025-08-04,Bhopal,Madhya Pradesh,Central
CUST00097,Sneha Borra,Male,45,Government,2023-02-02,Pune,Maharashtra,West
CUST00098,Chavvi Mani,Female,46,Education,2024-05-06,Bhopal,Madhya Pradesh,Central
CUST00099,Ayaan Mannan,Female,65,Corporate,2022-03-05,Kozhikode,Kerala,South
CUST00100,Girik Gade,Female,23,Corporate,2025-10-11,Coimbatore,Tamil Nadu,South
CUST00101,Laksh Butala,Male,27,Retail,2024-03-16,Mumbai,Maharashtra,West
